ID,Edad,Municipio,Nivel Educativo,Programa,Modalidad
001,18,Bayamón,Bachillerato,Biología Enfoque Humano,Presencial
002,19,Toa Baja,Bachillerato,Ciencias de Computadoras,Híbrido
003,17,Guaynabo,Bachillerato,Biología General,Presencial
004,24,San Juan,Maestría,Administración de Empresas,Online
005,21,Cataño,Bachillerato,Educación Física Especial,Presencial
006,20,Dorado,Bachillerato,Gerencia de Materiales,Híbrido
007,18,Vega Alta,Bachillerato,Sistemas de Oficina,Presencial
008,22,Naranjito,Grado Asociado,Tecnología de Ing. Electrónica,Presencial
009,26,Corozal,Certificado Esp.,Administración de Empresas,Online
010,19,Toa Alta,Bachillerato,Educación Pre-Escolar,Híbrido
011,20,Bayamón,Bachillerato,Ciencias de Computadoras,Presencial
012,18,San Juan,Bachillerato,Biología Enfoque Humano,Presencial
013,21,Guaynabo,Bachillerato,Biología General,Híbrido
014,30,Toa Baja,Doctorado,Administración de Empresas,Online
015,19,Bayamón,Bachillerato,Tecnología de Ing. Electrónica,Presencial
016,23,Cataño,Bachillerato,Gerencia de Materiales,Híbrido
017,17,Dorado,Bachillerato,Educación Física Especial,Presencial
018,20,Vega Baja,Bachillerato,Sistemas de Oficina,Online
019,21,Toa Alta,Bachillerato,Biología Enfoque Humano,Presencial
020,18,Bayamón,Bachillerato,Ciencias de Computadoras,Híbrido
021,25,San Juan,Maestría,Biología General,Online
022,19,Naranjito,Bachillerato,Educación Pre-Escolar,Presencial
023,22,Toa Baja,Grado Asociado,Tecnología de Ing. Electrónica,Presencial
024,18,Corozal,Bachillerato,Administración de Empresas,Híbrido
025,20,Bayamón,Bachillerato,Biología Enfoque Humano,Presencial
026,27,Guaynabo,Certificado Esp.,Gerencia de Materiales,Online
027,21,San Juan,Bachillerato,Sistemas de Oficina,Presencial
028,19,Cataño,Bachillerato,Ciencias de Computadoras,Híbrido
029,18,Dorado,Bachillerato,Educación Física Especial,Presencial
030,20,Toa Alta,Bachillerato,Biología General,Presencial
031,17,Bayamón,Bachillerato,Educación Pre-Escolar,Híbrido
032,22,Toa Baja,Bachillerato,Tecnología de Ing. Electrónica,Presencial
033,24,San Juan,Maestría,Gerencia de Materiales,Online
034,21,Vega Alta,Bachillerato,Administración de Empresas,Presencial
035,18,Bayamón,Bachillerato,Ciencias de Computadoras,Híbrido
036,19,Guaynabo,Bachillerato,Biología Enfoque Humano,Presencial
037,20,Naranjito,Bachillerato,Sistemas de Oficina,Online
038,18,Toa Alta,Bachillerato,Educación Física Especial,Presencial
039,23,Cataño,Bachillerato,Biología General,Híbrido
040,21,Corozal,Bachillerato,Educación Pre-Escolar,Presencial
041,19,Bayamón,Bachillerato,Tecnología de Ing. Electrónica,Online
042,30,San Juan,Doctorado,Administración de Empresas,Híbrido
043,18,Toa Baja,Bachillerato,Ciencias de Computadoras,Presencial
044,20,Dorado,Bachillerato,Biología Enfoque Humano,Presencial
045,22,Vega Baja,Grado Asociado,Gerencia de Materiales,Online
046,17,Bayamón,Bachillerato,Biología General,Presencial
047,19,Guaynabo,Bachillerato,Sistemas de Oficina,Híbrido
048,21,Toa Alta,Bachillerato,Educación Física Especial,Presencial
049,24,San Juan,Certificado Esp.,Tecnología de Ing. Electrónica,Online
050,18,Cataño,Bachillerato,Educación Pre-Escolar,Presencial
051,20,Naranjito,Bachillerato,Ciencias de Computadoras,Híbrido
052,21,Toa Baja,Bachillerato,Biología Enfoque Humano,Presencial
053,19,Bayamón,Bachillerato,Administración de Empresas,Presencial
054,18,Corozal,Bachillerato,Biología General,Híbrido
055,25,San Juan,Maestría,Sistemas de Oficina,Online
056,20,Dorado,Bachillerato,Gerencia de Materiales,Presencial
057,19,Toa Alta,Bachillerato,Tecnología de Ing. Electrónica,Híbrido
058,17,Bayamón,Bachillerato,Educación Física Especial,Presencial
059,22,Guaynabo,Bachillerato,Ciencias de Computadoras,Online
060,21,Toa Baja,Bachillerato,Biología Enfoque Humano,Presencial
061,18,Naranjito,Bachillerato,Educación Pre-Escolar,Híbrido
062,23,Cataño,Bachillerato,Administración de Empresas,Presencial
063,20,San Juan,Bachillerato,Biología General,Presencial
064,19,Bayamón,Bachillerato,Sistemas de Oficina,Online
065,28,Vega Alta,Doctorado,Gerencia de Materiales,Híbrido
066,21,Toa Alta,Bachillerato,Tecnología de Ing. Electrónica,Presencial
067,18,Dorado,Bachillerato,Ciencias de Computadoras,Presencial
068,20,Guaynabo,Bachillerato,Biología Enfoque Humano,Híbrido
069,19,Bayamón,Bachillerato,Educación Física Especial,Online
070,22,Toa Baja,Grado Asociado,Administración de Empresas,Presencial
