Term,Course,Section,Course Name,Credits,Capacity,Days,Hours,Room,Professor,Modality
C22,ADMI3015,KJ1,INT INTERNATIONAL BUSINESS,3,30,TuTh,10:00 am - 11:20 am10:00 am - 11:20 am,TBA,TBA,(P) - Presencial
C22,ADMI3015,KM1,INT INTERNATIONAL BUSINESS,3,30,TuTh,1:00 pm - 2:20 pm1:00 pm - 2:20 pm,TBA,TBA,(P) - Presencial
C22,ADMI3015,KP1,INT INTERNATIONAL BUSINESS,3,22,TuTh,4:00 pm - 5:20 pm4:00 pm - 5:20 pm,TBA,TBA,(P) - Presencial
C22,ADMI3015,LJ1,INT INTERNATIONAL BUSINESS,3,30,MW,10:00 am - 11:20 am10:00 am - 11:20 am,TBA,TBA,(P) - Presencial
C22,ADMI3015,LM1,INT INTERNATIONAL BUSINESS,3,30,MW,1:00 pm - 2:20 pm1:00 pm - 2:20 pm,TBA,TBA,(P) - Presencial
C22,ADMI3015,LN1,INT INTERNATIONAL BUSINESS,3,30,MW,2:30 pm - 3:50 pm2:30 pm - 3:50 pm,TBA,TBA,(P) - Presencial
C22,ADMI3150,EL1,BUSINESS PLAN DEVELOPMENT,3,20,,,TBA,TBA,(D) - Distance
C22,ADMI3301,KH1,ENTREPRENOUR DEVELOPMENT,3,30,TuTh,8:30 am - 9:50 am8:30 am - 9:50 am,TBA,TBA,(P) - Presencial
C22,ADMI3301,LH1,ENTREPRENOUR DEVELOPMENT,3,30,MW,8:30 am - 9:50 am8:30 am - 9:50 am,TBA,TBA,(P) - Presencial
C22,ADMI4007,EL1,STRATEGIC MANAGEMENT,3,20,,,TBA,TBA,(D) - Distance
C22,ADMI4007,KH1,STRATEGIC MANAGEMENT,3,30,TuTh,8:30 am - 9:50 am8:30 am - 9:50 am,TBA,TBA,(P) - Presencial
C22,ADMI4007,LH1,STRATEGIC MANAGEMENT,3,20,MW,8:30 am - 9:50 am8:30 am - 9:50 am,TBA,TBA,(P) - Presencial
C22,ADMI4007,LJ1,STRATEGIC MANAGEMENT,3,18,MW,10:00 am - 11:20 am10:00 am - 11:20 am,TBA,TBA,(P) - Presencial
C22,ADMI4415,LJ1,LEADERSHIP,3,25,MW,10:00 am - 11:20 am10:00 am - 11:20 am,TBA,TBA,(P) - Presencial
C22,ANAT4012,KM1,HUM ANAT & PHYSIOLOGY II,4,24,TuTh,1:00 pm - 2:20 pm1:00 pm - 2:20 pm,TBA,TBA,(P) - Presencial
C22,ANAT4014,KP1,HUM ANAT PHYSIOL II LAB,-,20,Tu,4:00 pm - 6:50 pm,TBA,TBA,(P) - Presencial
C22,ANTR3005,KG1,INTROD CULTURAL ANTHROPOL,3,30,TuTh,7:00 am - 8:20 am7:00 am - 8:20 am,TBA,TBA,(P) - Presencial
C22,ANTR3005,KN1,INTROD CULTURAL ANTHROPOL,3,30,TuTh,2:30 pm - 3:50 pm2:30 pm - 3:50 pm,TBA,TBA,(P) - Presencial
C22,ARTE3125,KJ1,DRAWING I,3,15,TuTh,10:00 am - 11:20 am10:00 am - 11:20 am,TBA,TBA,(P) - Presencial
